Text,Label
ከተማ/የገጠር ዞን፡-_____________ ወረዳ፡-_______ ቀበሌ፡-_____ የቤት ቁጥር፡-_____,1
"- በቀጣይም አፈፃፀማቸውንና አቅማቸውን መሰረት በማድረግ፤ በአማካይ እስከ 25,000",1
መደበኛ ተቋም,1
መደበኛ ተቋም,2
አስተዋፅኦ የሚያበረክት መሆን አለበት፡፡,1
ከሰኞ እስከ አርብ,1
 የገቢ ሞዴል (ያያይዙ),1
የቢሮ ስልክ ቁጥር፡-_____________________________________________________,1
 የፀሃይ የገጠር ኢነርጂ ቴክኖሎጂ የሽልማት ዘርፍ,1
የ2010 ዓ.ም. መጋቢት ለውጥ ከመጣ በኋላ፣ ሕወሓቶች ትግራይ ላይ ጠቅላይ ቢሯቸውን አድርገው ሸርና ጦርነት መደገስ ውስጥ የገቡት ከብቻ የበላይ ገዥነት ዝቅ ብሎ ከሌሎች ጋር ሥልጣን መጋራት አልዋጥላቸው ብሎ ነበር፡፡ ሸርና ጦርነት ሲደግሱ በቆዩበት ጊዜም ሆነ ጦርነት በከፈቱ ጊዜ፣ ዓይነት ባይነት ሀብት እየዘረፉ መሸሸግ አልተለያቸውም ነበር፡፡ ጦርነቱን ወደ አፋርና አማራ ክልል ሲወስዱትም፣ መንጣሪ ዘረፋ አንዱ ቁልፍ ተግባራቸው ነበር፡፡ በተኩስ ተተንኩሶና ኢትዮጵያን በጭንቋ አግዞ ጦርነቱ ውስጥ የገባው ሻዕቢያም የዘረፋ በቀሉን አዝሎ ነበር፡፡ በፕሪቶሪያው ስምምነት አማካይነት ጦርነት በቆመ ጊዜም ቂም ያልተገባደደለት ሻዕቢያ ቅር ተሰኝቷል፡፡ ግብዞቹ ሕወሓቶችም፣ ለትግራይ ሕዝብ ሰላም በማምጣትና የእነሱን ነፍስ በማትረፍ ዋጋው ስምምነቱን ከማመመሥገን ፈንታ፣ ለማንኳሰስ ጊዜ አልወሰደባቸውም፡፡ ውሎ አድሮ የአስተሳሰብ ለውጥ የታየባቸው አንጃዎች ብናይም፣ ዛሬም ትግራይን የሥልጣን ርስቴ የሚል፣ ዛሬም ጦርነትን የሚናፍቅ፣ ዛሬም የታጠቀን ኃይል የቡድን ሎሌው ማድረግ የሚሻና ዘረፋን የሀብት ማፍሪያ አድርጎ የሚጠቀም፣ ሃይማኖትን የፖለቲካ አጀንዳ ማስፈጸሚያ መሣሪያ ያደረገ የሕወሓት መረብ አልታጣም፡፡ ከማዶ ያለው ሻዕቢያም የሥልጣን ስስቱን አላልቶ ለሕዝቡ ሻል ያለ ለውጥና የልማት ዕርምጃ ለማሳየት አልፈቀደም፡፡ ለፍትሐዊ ትግግዝና የጉርብትና ግንኙነት ጎርባጣ ሆኖ ግንኙነትን ማዳከምን ሥራዬ ብሎ ይዞታል፡፡ ቁርቁስ ባለበት ውስጥ እጁን መስደድንና የቀውስ አራቢዎች ተቀጢላ መሆንን መተዳደሪያው አድርጎ ቀጥሏል፡፡ የዚህ ዓይነት ባህርይ ካላቸው ድርጅታዊ ዕንቁላሎች ፍትሐዊና ዴሞክራሲያዊ አመለካከቶች አይቀፈቀፉም፡፡,1
2) የንግድ ስራ ሞዴሉን ቁልፍና ልዩ ባህሪያት/ይዘቶች የሚያሳይ (ግምሽ ገፅ),1
2) የፈጠራው አጭር ማብራሪያ (ግማሽ ገፅ),1
የፈጠራ ሥራ በመጀመሪያው የሽልማት ውድድር ተወዳድሮ ተጠቃሚ /አሸናፊ ያልነበረ መሆን አለበት፡፡,1
 አነስተኛ የሃይል ስርጭት መረብ (ሚኒ-ግሪድ) የገጠር ኢነርጂ ቴክኖሎጂ የሽልማት ዘርፍ,1
ሰርተፍኬት፣ ንግድ ፍቃድ፣ ፓተንት፣ ዲዛይን፣ ወዘተ ከ 10 ገፅ ያልበለጠ ያመላክቱ፡፡,1
ይፈልጋል፡፡,1
TOPIC 2.3: COVID-19 SYMPTOMS,1
 አመልካቹ የፈጠራ ሥራው ሕጋዊ ባለቤት መሆን አለበት፡፡,1
14) ቢያሸንፉ ገንዘቡን እንዴት ሊጠቀሙ እንዳሰቡ በደንብ ይግለፁ (ግምሽ ገፅ),1
• ስለ ምደባ መረጃ,1
11) ታሳቢ የተደረጉ ደንበኞች፣ ከደንበኞች ጋር የሚኖር ግንኙነት (ግማሽ ገፅ),1
TOPIC 1.5: GRADE 12 NATIONAL EXAM RESULTS,1
 አክሲዎን,1
የትግራይ ብዙኃን ወጣቶች በውዥንብር ጉም ሰማይ ሥር ዳግም የጦርነት ፍዳ ውስጥ አለመግባት ደመ ነፍሳዊ ሐቃችሁ መሆኑን ጨብጣችኋል? የትግራይ ወጣቶች ሆይ! ውዥንብሩንና ድብስብሱን ሁኔታ እየቀደዳችሁ ወደ በረሃ መውረድን የሚቀላውጥ እያንዳንዶችን አዝማሚያ አውግዙ፡፡ በትግራይ ኦርቶዶክስ ቤተ ክርስቲያን አመራር ውስጥ ልብሰ ተክህኖና ቆብ አጥልቆ ያደፈጠውን የመነጠል አጀንዳ አስተውሉ፡፡ እነ ሣልሳዊ ወያነ የሚያመሰኩትን የመነጠል አጀንዳ አስተውሉ፡፡ ‹‹ይህ ያ መሬት የትግራይ ሉዓላዊ ይዞታ ነው! ያ እስካልተሟላ ሰላም የለም!›› ባይነት ውስጥ የተሸሸገ ተነጣይነት የፈጠረውን ያለመተማመን ተቃርኖ ልብ በሉ፡፡ ሁሉም ወደ ጦርነት የሚወስዱ — የወጣቶችን የመስዋዕትነት ደም የሚጠጡ — መንገዶች ናቸው፡፡ የትግራይን ሕዝብ ኑሮ በጦርነት ያዘባተሉ ጥላቻንና ጥርጣሬን የተከሉ አሮጌ አጀንዳዎችን የትግራይ ወጣቶች ‹‹እምቢ! በቃን!›› በሉ!! ፓርቲና ሕዝብን የማይነጣጠሉ አድርጎ የሚሰብክ ፖለቲካ ሰንሰለት መሆኑን፣ ለየትኛውም ሕዝብ ሐሳቦችንና ፓርቲዎችን ማማረጥ መብት እንደሆነ አስተጋቡ! ለመንግሥትና ለሃይማኖት መለያየት፣ ለሃይማኖትና ለፖለቲካ መለያየት፣ ለፓርቲና ለንግድ ሥራ መለያየት፣ እንዲሁም ለፓርቲና ለጠመንጃ መለያየት በፅናት ታገሉ! ‹‹ትንታግ ተዋለዶ ትግራይ›› በተባለ ቡድን ውስጥ የተሰባሰባችሁ ወጣቶች፣ ከሕጋዊነት ጋጥ የወጣ አፍኖ ገዳይ ባለባት ትግራይ ውስጥ ኅቡዕ መሆን የማያስገርም ቢሆንም፣ ከላይ ለተዘረዘሩት ግቦች የምትታገሉ ከሆነ አቋማችሁን ይፋ አውጡ፡፡ ራስን በመከላከል ስም ጥይትን የትግል መሣሪያ ለማድረግ ሐሳብ ካላችሁም፣ ከኢሕአፓ ጥፋት ተምራችሁ ትግራይን ወደ ሥርዓት አልባነት እንዳታንደረድሯት ከወዲሁ ታቀቡ፡፡ የሕገወጦቹ ሕወሓቶች አፈናና ግድያ እስኪገፈፍ ድረስ ኅቡዕ ብትሆኑ እንኳ ሰላማዊ ሥልትን በሥውርና በይፋ የመጠቀም ጥበብን እወቁበት፡፡ እናም በሰፊዋ ፌዴራላዊት ኢትዮጵያ የጋራ አገራችን ውስጥ፣ በመነጠል ጠርጣሪም ተጠርጣሪም ሳይኖር፣ ደፍጣጭም ተደፍጣጭም ሳይኖር፣ ከዘመድ ሕዝቦች ጋር በዕርቅ፣ በትምምንና በዴሞክራሲ ተቃቅፎ የመኖርን አቋም ከፍ አድርጋችሁ አውለብልቡ፡፡ የጋራ ትልምን፣ ዕርቅንና ትምምንን በተቆናጠጠ የአንድ አገር ልጅነት ትስስብ ውስጥ ከፍትሐዊ የልማት ዕድል አኳያ የይዞታን ጉዳይ መፍታት ቀላል ነው፡፡,1
ሰዓት: ከጠዋቱ 2:00 ሰዓት ጀምሮ,1
 ድርጅቱ በፌዴራል እና/ወይም በክልል ባሉ ለንግዱ ዘርፍ በወጡ ህጎች መሰረት የተመዘገበ መሆን,1
ሊደረግ ሊችሎ የሚችሉትን ደረጃዎች:,1
ወዘተ) ያላቸው አገሮች ይበልጥ ተጠቃሚ ይሆናሉ፡፡ ለውድድር እና ለቢዝነስ ሥራ በበለጠ,1
መነጠልን ነፃነት አድርጎ የሳለ ግብ,1
ካፒታል) ይሸለማሉ፡፡,1
01 2012 ዓ.ም ብቻ በነዚህ ስልኮች መረጃዎችን ማነጋገር ይቻላል),1
 የወጪ ማሳያ (ያያይዙ),1
TOPIC 1.4: FEDERAL SPECIAL BOARDING SECONDARY SCHOOLS,1
ሞልተው ይላኩ፡፡,1
5) ፈጠራውን ተግባር ላይ ለማዋል የሚወስደው ጊዜ እና ዝርዝር ተግባራቶች (ግማሽ ገፅ),1
አንድ ጠብታ ደም ለሌላው የሕይወት ተስፋ ነው። በደምዎ የሌላውን ሰው ህይወት ይታደጉ።,1
ውጤታማ ናቸው፡፡ ሥራ ፈጣሪ የመሆን ውሳኔ ለሥራ አጥነት ምላሽ እንደሆነ ይታመናል፡፡,1
 አመልካቹ የፈጠራ ሥራው (ለገጠር ኢነርጂ ቴክኖሎጂ ፈጠራ ሥራ) ናሙና (prototype),1
 የተሻሻለ የማብሰያ ምድጃ የገጠር ኢነርጂ ቴክኖሎጂ የሽልማት ዘርፍ,1
3.2. በድርጅት በኩል ለሚያመለክቱ ተጨማሪ መሟላት ያለባቸው መረጃዎች,1
ሥራ በመጀመሪያው የሽልማት ውድድር ተወዳድሮ ተጠቃሚ/አሸናፊ ያልነበረ መሆን አለበት,1
2. የሚወዳደሩበት ሁኔታ,1
- ፎርሙን እንደመነሻነት መጠቀም የሚችሉ ሲሆን ከ 10 (አስር) ገፅ ከበለጠ ከውድድሩ ይሰራዛል፡፡,1
የሕወሓት ጦረኞች ሰሜን ጦር ላይ ጥቃት በመፈጸም ከከፈቱት ጦርነት አንስቶ በሦስት ዙር ባካሄዷቸው ወረራዎች ማገዶ የሆነው የትግራይ ወጣት የሕወሓትን ዓላማ በውዴታው ዓላማው አድርጎት ነበር ወይስ በጥርነፋና በሐሰተኛ ውስወሳ ተይዞ? ለሚለው እንቆቅልሽ አሁን ፍቺ እየተገኘለት ነው፡፡ የሕዝብ ደም እንደ ጎርፍ ከፈሰሰበት ከዚያ ሁሉ ልምድ በኋላ፣ ዛሬም መነጠልን ያጠበቁ የሕወሓት አንጃዎች አሉ፡፡ አዛውንቱ ግትር ሕወሓቶች የመነጠልን አጀንዳ ካወረሷቸው ልጆቻቸው መሀል፣ ‹‹ሳልሳዊ ወያነ›› የተባለው ቡድን የሕዝብ ግንኙነት ሰው ሲናገር እንደተሰማው ከሆነማ፣ መነጠልን ያነገቡት ኢትዮጵያ በደለችን ከሚል መንደርደሪያ አኳያ ብቻ ሳይሆን መነጠልን በራሱነቱ ይሹታል (‹አስፓየር› ያደርጉታል)፡፡ ከኢትዮጵያ ኦርቶዶክስ መንበር ተነጠልኩ ባለችው የትግራይ ኦርቶዶክስ ቤተ ክርስቲያንም ውስጥ የመነጠል አጀንዳ አድብቶ እንዲቆይ ተደርጓል፡፡ ዛሬ በተራው የትግራይ ሕዝብና ወጣት ዘንድ ያለው ዝንባሌ የሚነግረን ግን ከሕወሓትና ከሕወሓታዊዋን ውጪ የሆኑ የፖለቲካ ቡድኖች ያለ አፈናና ሥጋት የሚንቀሳቀሱበት ሁኔታ ከተፈጠረ፣ በኢትዮጵያ ማዕቀፍ ውስጥ በሰላም ከመልማት በቀር ከመነጠል ዓላማ ጋር መንገታገትን ለጆሮው እንኳ መስማት የማይሻው በገፍ እንደሆነ ነው፡፡ ከዚህ ቀደም ሕወሓታዊዋን ከአገር ውስጥ እስከ ባህር ማዶ ድረስ አፍ ተልብ ሆነው ‹‹ጦርነቱን የጀመረው የዓብይ መንግሥት ነው!…፣ የኢትዮጵያ መንግሥት ጦርነት የከፈተብህ እንደ ሕዝብ ከምድረ ገጽ ሊያጠፋህ ነው!›› የሚል ውሸትን እውነት አስመስለው ሕዝብን እንዳላደናገሩ ሁሉ፣ ዛሬ ፍርክስክሳቸው ወጥቶ የገነቡትን የውሸት ካብ በእርስ በርስ መጋፈፍ እየናዱ ነው፡፡ በተለይ ፀፀት የማይነካካው የቆሞ ቀሩ ክንፍ ወካዮች፣ እስከ ወገባቸው በተቀበሩበት ሁኔታ ‹‹መንገድ አሳልፈኝ›› እስከ ማለት ያሉበት እውነታ ጠፍቷቸው መሳለቂያነታቸው ልክ አጥቷል፡፡ ለጦረኞቹ ምርኮ ቀረሽ፣ ለመላው ሕዝብ ግን ሰላም አምጪ የሆነውን የፕሪቶሪያ ስምምነት፣ የኢትዮጵያ መንግሥት ሰዎች እንደምናፈርሳቸው ፈርተው ነው የፈረሙት ብሎ እስከ መቀላመድ ድረስ ውሸታቸው መጃጀቱን የትግራይ ሕዝብ ለማየት በቅቷል፡፡ ከአሮጌው የሕወሓት መስመር የተቃረኑ የትግራይ ሕዝብ ትንፋሾችን፣ ‹‹በገንዘብ ጉርሻ የተገዙ›› አድርገው ቆሞ ቀሮቹ ማጠልሸታቸውም ብልጠት አልነበረም፡፡ ሕወሓቶች ጥርስ የነቀሉበትን ስምና ተግባር የማጠልሸት ንክሻቸውን የትግራይ ተራ ሕዝብ በማይወናበድበት መልክ እንዲቀምሰው ነበር የረዱት፡፡ ዛሬ የትግራይ ሕዝብ ነፍስ ከማዳን ትግል ባልራቀ ኑሮ ውስጥ እየተዳፋ ሳለ፣ ‹‹ሕወሓትን ማዳን የትግራይን ሕዝብ ማዳን ነው›› የሚሉት ሥልጣን አምላኪዎች፣ ሽሬ ምድር ውስጥ ምን እየማሱ እንደሆነ ሕዝብ ጉድ እያለ ታዝቧል፡፡ ያኔ በጦርነቱ ጊዜ የኤርትራ ኃይል ሠራ ስለሚባለው ግፍ ሲቀልጥ የነበረው ኡኡታ ወደ ጀርባ ተሸሽጎ፣ የዛሬው የወርቅ ዘረፋ ንግድ ከእነማን ጋር ሰንሰለት እንዳበጀ ለሕዝብ ጆሮ ሥውር አይደለም፡፡ በአጭሩ ለተሻለ ሕይወት ልጆቹን ሲገብር የኖረው የትግራይ ሕዝብ ምን ያህል በስሙ እንደ ተነገደበት የተጣበቀ አንጀቱን ደግፎ እያስተዋለ ነው፡፡,1
ሚኒስትሮች,1
መሆን አለበት፡፡,1
10) ፕሮጀክቱን ለመስራት የሚያጋጥሙ ተግዳሮቶችን እና የመፍቻ ቴክኒክ/ዘይቤ (ግማሽ ገፅ),1
1) የፈጠራው ርዕስ (1 ገፅ),1
TOPIC 2.4: PREVENTION MESSAGE,1
ይገንዘቡ፡፡,1
- ከአምስት ሺ እስከ አሥር ሺ የአሜሪካን ዶላር የሚደርስ የገንዘብ ድጋፍ (መነሻ,1
• የስኮላርሺፕ አማራጮች (መንግስት፣ በግልና፣ ፕሬዝዳንታዊ),1
መላክ የሚችሉ መሆኑን እንገልፃለን፡፡,1
 የማቀድ አቅምዎን የሚያሳይ ሌላ ማንኛውም ዓይነት መረጃ (ያያይዙ),1
የድርጅቱ/የተቋሙ ስም፡-_____________________________________________________,1
11) ስትራቴጃዊ አቅጣጫዎች (ምርት፣ ሽያጭ፣ ማስፋፊያ፣ ወዘተ) ያያይዙ,1
የታደሰ የንግድ ምዝገባ ቁጥር፡-________________________________________________,1
የኩባንያ ታሪክ,1
የኩባንያ ታሪክ,2
- ተገምግመው በሚለዩ ክፍተቶች ወይም ፍላጎቶች ላይ የተመሠረቱ የተለያዩ,1
1. የተወዳዳሪው ዝርዝር መግለጫ በመጨረሻ ገፅ “ማሳሰቢያ” ስር ለውድድሩ የሚሆን አስፈላጊ,1
 የግል አመልካቹ የውድድሩ አሸናፊ ሆኖ ቢገኝ/ቢመረጥ፤ የፈጠራ ሥራውን አምርቶ ለገበያ ለማቅረብ,1
 የውድድሩ የማብቂያ ግዜ ሚያዚያ 07 2012 ዓ.ም ይሆናል፡፡,1
ስምምነትን ማረጋገጫ,1
 የውድድር አማራጭ 2፡ የገጠር ኢነርጂ ቴክኖሎጂ የንግድ ስራ ሞዴል ፈጠራ ብቻ,1
በመርሃ ግብሩ የሚሰጡ ሕክምናዎች:,1
 ይህን የማመልከቻ ቅፅ ሲሞሉ የሞሉት መረጃ ትክክለኛና በእውነት ላይ የተመሰረተ መሆኑን ማረጋገጫ እየሰጡ መሆኑን,1
የዘንድሮው ፎረም,1
TOPIC 2.2: ETHIOPIA COVID-19 CASES,1
"የአሜሪካን ዶላር ሆኖ እስከ 40,000 ዶላር ለሚደርስ የገንዘብ ሽልማት ለሚያስገኝ",1
 አጠቃላይ የአመልካች (በንግድ ተቋም/በግለሰብ) መረጃና ፕሮፋይል,1
_______________________________________________________,1
https://www.aau.edu.et/announcements/detail?title=Undergraduate~programs~adverts~for~the~upcoming~placement~for~1st~Year~Students,1
ዴስክ ባሲሊዮስ ጥላሁን ኔተዎርክ ኦፕሬሽን ዴስክ ኃላፊ ሃገራዊ የትምህርት አይሲቲ/ዲጂታል ፖሊሲዎች ፣ ስታንዳርዶች ፣,1
1) የንግድ ስራው ርዕስ,1
TOPIC 1.3: MORAL EDUCATION & ANTI-CORRUPTION,1
የኢትዮጵያዊ/የኢትዮጵውያን መሆን አለበት፡፡,1
 የነዳጅ የገጠር ኢነርጂ ቴክኖሎጂ የሽልማት ዘርፍ,1
የሞባይል ስልክ ቁጥር፡-__________________________________________________,1
 አመልካቶች አሁን ሊወዳደርበት በሚያስበው የገጠር ኢነርጂ ቴክኖሎጂ ወይም የቢዝነስ ሞዴል የፈጠራ,1
ማሳየት የሚችል መሆን አለበት፡፡,1
TOPIC 3.3: DIGITAL FABRICATION LAB (FAB-LAB),1
መገልገያዎች,1
- የተቆጠበ/የዳነ የጊዜ፣ የጉልበት፣ የነዳጅ ወይም የቁሳቁስ መጠን,1
 የነፋስ ሃይል የገጠር ኢነርጂ ቴክኖሎጂ የሽልማት ዘርፍ,1
አርብ ነሐሴ 8 ከሰዓት ከ 7:30 ጀምሮ በይፋ ይጀምራል።,1
 ድርጅቱ/ወይም የድርጅቱ ባለቤት የፈጠራ ሥራው ሕጋዊ ባለቤት መሆን አለበት፡፡,1
 የድርጅቱ ባለቤትነት (የጥምር ሽርክና ከሆነ ደግሞ የድርጅቱ አብዛኛው,1
የድርጅት መዋቅር እና ተግባራት,1
የድርጅት መዋቅር እና ተግባራት,3
ቦታ: ጥቁር አንበሳ ስፔሻላይዝድ ሆስፒታል,1
ማሳሰቢያ፡,1
4. የሽልማቱ ጥቅል,1
በመሆኑም ልጆቻችሁን በመያዝ ምዝገባ በተካሄደበት ቦታ (አምስት ኪሎ) ከ 3:30 ሰዓት እንድትገኙ እናሳውቃለን።,1
9) በፈጠራው ላይ እስካሁን ፈሰስ የተደረገ የገንዘብ መጠን እና ቅድሚያ ለሚሟሉ ቁሶች የተያዛ የፋይናንስ,1
3. የአመልካች መረጃ,1
ተቋማትን ጎበኙ፤,1
የሥርዓተ ትምህርት ማበልፀጊያ መሪ ሥራ አስፈፃሚ,1
የድርጅቱ/ተቋሙ ርዕይ ወይም ዓላማ፡-,1
Pages 46-71 (Recent Posts),1
4) ፈጠራው የሚያመጣቸውን ኢኮኖሚያዊ፣ ማህበራዊና አካባቢያዊ ተጽእኖዎች (ግማሽ ገፅ),1
ቁልፍ እውነታዎች,1
ልጆቻችሁን በአዲስ አበባ ዩኒቨርስቲ ሞዴል ማህበረሰብ ት/ቤት (ከ 1-7 ኛ) ክፍል ለማስተማር ያስመዘገባችሁ የመግቢያ ፈተና ረቡዕ ሐምሌ 29 ቀን 2018 ዓ.ም በ 4:00 ሰዓት ይሰጣል።,1
TOPIC 3.2: SUPPORT FOR BLIND STUDENTS,1
በመሆኑም ለተወዳዳሪዎች በተላለፈው ማታወቂያ ተወዳዳሪዎች የሚሞሉትን ፎርም,1
Application form to compute rural areas energy development engaged enterprises,1
TOPIC 1.8: HIGHER EDUCATION LEADERSHIP CAPACITY BUILDING,1
በገጠር ኢነርጂ ቴክኖሎጂ ለተሰማሩ ኢንተርፕራይዞችና የፈጠራ ስራዎች ሽልማት መወዳደሪያ ቅፅ,1
- ትርፋማነት፣ የንብረት መጠን፣ እና የድርጅቱ ሰራተኞች ብዛት ... ወዘተ,1
 መንግስታዊ ያልሆነ (NGO),1
 ስትራቴጃዊ አቅጣጫዎች (ምርት፣ ሽያጭ፣ ማስፋፊያ፣ ወዘተ),1
6) ለረጂም ጊዜ የማያቋርጥ/ዘላቂነት ያለው ፕሮጀክት መሆኑን ያሳዩ (ግማሽ ገፅ),1
ሌሎች,1
አመልካቹ ኢትዮጵያዊ ዜጋ መሆን አለበት፡፡,1
 ይህንን የማመልከቻ ቅፅ በድህረ ገፃችን (www.mint.gov.et) ላይ ማግኘት የሚችሉ መሆናችን በትህትና እንገልፃለን፡፡,1
• የማመልከቻ ሂደቶች,1
Language: Amharic (አማርኛ),1
ምንጭ (ግማሽ ገፅ),1
