id,row,grade,topic,question,raw_answer,status,ratio,text
tigqa-007-16,7,,ሓደጋትራፊክ,ብውርውራይመንገዲዘይምስጋር ናይ መን ጉድለት እዩ?,ተመሃራይ,unmatched,0.6,
tigqa-007-17,7,,ሓደጋትራፊክ,ሓደጋትራፊክከመይገይርናንከላኸሎ?,ሕግታት ትራፊክ ብምኽባር,fuzzy,0.846,ታት ትራፊክ ብምኽባር
tigqa-007-20,7,,ሓደጋትራፊክ,ብምንታይ ኢና ካብሓደጋክንዕቀብንኽእል?,ካብ ሓደጋ ትራፊክ,fuzzy,0.778,ሓደጋ ትራፊክ
tigqa-007-21,7,,ሓደጋትራፊክ,እንታይ ስለዝገበርኩሙለይ ኣዝየየመስግን እዮም ዝበሉ ኮማንደርጀማል?,,no_answer_chunk,0.0,
tigqa-007-22,7,,ሓደጋትራፊክ,ኣብፅርግያ ብዘይምፅዋት ካብእንተይክንዕቀብንኽእል?,,no_answer_chunk,0.0,
tigqa-008-06,8,,ምድግጋፍንሓባራዊረብሓ,“ከመይዝበልኪዓሻኢኺ” ዝበለት መን እያ?,ካሊእቲ ዒፍ,unmatched,0.5,
tigqa-008-07,8,,ምድግጋፍንሓባራዊረብሓ,“ንሳቶምቀቀሊሉእናሰርሑ” ክትብል ከላ ንሳቶም መን እዮም?,ከልብን እንጭዋን,unmatched,0.444,
tigqa-008-08,8,,ምድግጋፍንሓባራዊረብሓ,እታዒፍብዛዕባዝተነገራክትሓስብ ዝጀመረት መዓስ እዩ?,ድሕሪ ሒደት መዓልትታት,fuzzy,0.75,ድሕሪ ሒደት መዓል
tigqa-008-11,8,,ምድግጋፍንሓባራዊረብሓ,እንመን እዮም ዒፍብዝበለቶ ዝተሰማዕምዑ?,እንጭዋን ከልብን,unmatched,0.667,
tigqa-008-15,8,,ምድግጋፍንሓባራዊረብሓ,ከልቢእንታይ ክገብርረኸበቶ?,ዝገብሮ ጠፊእዎ ኮፍ ኢሉ,unmatched,0.5,
tigqa-010-11,10,,ጉድኣትኣካል,ምስመጉዳእቶምብዘይፃባእክመሃሩእንተተገይሩንእንተተሓጊዞምንእንታይክጭብጡይኽእሉ?,ዘድሊፍልጠትንክእለትን,unmatched,0.154,
tigqa-010-12,10,,ጉድኣትኣካል,እዞምወገናትከምኩሉመፍረያይኮይኖምእንታይይኽእሉ?,ንባዕሎምንንቤተሰቦምን,unmatched,0.231,
tigqa-010-13,10,,ጉድኣትኣካል,ዓርሶምካብምኽኣልብተወሳኺኣብእንታይብንጥፈትተዋሳእቲእዮም?,ኣብልምዓትሃገር,unmatched,0.333,
tigqa-010-14,10,,ጉድኣትኣካል,ብዘጋጠሞምመጉዳእቲከይተሰኮኑኣብምንታይተዋፊሮምውፅኢታዊስራሕይሰርሑኣለዉ?,ኣብኪነጥበብንካልኦትዓውዲታትን,unmatched,0.333,
tigqa-010-15,10,,ጉድኣትኣካል,ብምንታይከይተሰኮኑ እዮም ኣብኪነጥበብንካልኦትዓውዲታትንተዋፊሮምውፅኢታዊስራሕዝሰርሑዘለዉ?,ብዘጋጠሞምመጉዳእቲ,unmatched,0.455,
tigqa-011-04,11,,ምትእትታውስርዓተፆታ,ምትእትታውስርዓተፆታሕቶእንታይጥራሕኣይኮነን?,ፍትሓውነት,unmatched,0.5,
tigqa-011-05,11,,ምትእትታውስርዓተፆታ,ምትእትታው ስርዓተ ፆታ ዕብየት መን ንምርግጋፅ ዝበለፀን ውፅኢታዊን ሜላ እዩ?,ደቂ ሰባት,unmatched,0.6,
tigqa-012-09,12,,ስድራቤትህይወት,ዝተፈላለዩትካላትዝሕንፅፁዎምትልሚታትእንታይኣብግምትዘእተወክኸውንይግባእ?,ጉዳይ ስርዓተ ፆታ,unmatched,0.667,
tigqa-012-15,12,,ስድራቤትህይወት,ተስፋይ ንምንታይትምህርቲከቋርፅ ደለየ?,ግራት ክሓርስ,unmatched,0.571,
tigqa-012-29,12,,ስድራቤትህይወት,ሕጉስመነባብሮፍልፍሉምትሕልላይንስራሕተባዕታይንስራሕኣንስተይቲንከይበልካምስራሕንምዃኑተረድአት መን እያ?,ወይዘሮ ሂወት,unmatched,0.571,
tigqa-013-02,13,,ኪነህንፃኣብርሃወኣፅብሃ,ኣብርሃወኣፅብሃካብከተማውቕሮክንደይኪሎሜትርርሒቑይርከብ?,15 ኪ/ሜ,unmatched,0.6,
tigqa-013-07,13,,ኪነህንፃኣብርሃወኣፅብሃ,ስፍሓቱኣብርሃወኣፅብሃክንደይ ብኽንደይ ሜትርእዩ?,16 ብ13ሜ,unmatched,0.667,
tigqa-013-08,13,,ኪነህንፃኣብርሃወኣፅብሃ,ቁመትናሕሲ ኣብርሃወኣፅብሃክንደይሜትርይበፅሕ?,7ሜ,unmatched,0.5,
tigqa-013-10,13,,ኪነህንፃኣብርሃወኣፅብሃ,ኣብ ኣብርሃወኣፅብሃኣዝዩዘደምም እንታይእዩ?,ውሽጣዊገይፂታትንጥበብኣተሃናንፃን,fuzzy,0.95,ውሽጣዊ ገይፂታትን ጥበብ ኣተሃናንፃ
tigqa-013-12,13,,ኪነህንፃኣብርሃወኣፅብሃ,ስእልታት ኣብርሃወኣፅብሃ ኣብ መበል ክንደይ ክፍለ ዘመን ተሳኢሎም ይበሃል?,17 ክ/ዘ,unmatched,0.6,
tigqa-013-14,13,,ኪነህንፃኣብርሃወኣፅብሃ,ኣብቲህንፃኣብርሃወኣፅብሃእንታይ ሓድጊታት ኣለዉ?,ዓራትን መስቀላትን,unmatched,0.6,
tigqa-013-15,13,,ኪነህንፃኣብርሃወኣፅብሃ,ተመራመርቲ ኣብርሃወኣፅብሃዝተሃነፀሉኣበየናይ ክፍለ ዘመን እዩ ይብሉ?,4ይ ክ/ዘ,unmatched,0.4,
tigqa-014-02,14,,ውንታኣቦሓጎይ,ሚኪ ግርማይ እንታይ እዩ ክነግረና?,ሓደ መዓልቲ ዘጋጠሞ ነገር,unmatched,0.692,
tigqa-014-05,14,,ውንታኣቦሓጎይ,ሚኪ፣ ኩነታተይደስከምዘይበሎየፍልጥነበረ፣ ዝበሎ ንመን እዩ?,ንኣቦሓጎኡ,unmatched,0.667,
tigqa-014-07,14,,ውንታኣቦሓጎይ,ሚኪ “ጎይታይተፃወት” ዝበሎ ንመን እዩ?,ንሓቦሓጎኡ,unmatched,0.5,
tigqa-014-08,14,,ውንታኣቦሓጎይ,ኣቦ ሓጉኡ ንሚኪ ተጐምጒሞሙዎዝነበረኩታ እንታይ ገበሩዎ?,ኣውረድዎ,unmatched,0.4,
tigqa-014-09,14,,ውንታኣቦሓጎይ,ሚክ ብኣዘራርባ ኣቦ ሓጉኡ እንታይ ኮነ?,ደንጊፁ,fuzzy,0.75,ደንጊ
tigqa-014-12,14,,ውንታኣቦሓጎይ,” ኢሉ ዝሓተተ መን እዩ?,አባሓጎ ሚኪ,unmatched,0.333,
tigqa-014-13,14,,ውንታኣቦሓጎይ,ንውሱናትሰከንድታትኣብሓሳብ ጠሓለ ዝተባህለ መን እዩ?,መዘናግዕታት,unmatched,0.571,
tigqa-014-14,14,,ውንታኣቦሓጎይ,ጭዋዳናዘጠንክሩ፣ኣተሓሳስባናዘብልሑ፣ እተባህሉ እንታይ እዮም?,ብምንቅስቓስ,fuzzy,0.857,ምንቅስቓስ
tigqa-014-15,14,,ውንታኣቦሓጎይ,ቅልስንእዛእምባይመንይወርሳን ብመንታይ ዝፍፀሙ መዘናጊዕታት እዮም?,ገበጣ 'ሽታ ኣቀራቃር' ዲቦ' ነበረያነበረ፣ሕንቅልሕንቅሊተይን እንካኣዝግንን,unmatched,0.357,
tigqa-014-16,14,,ውንታኣቦሓጎይ,ብምሕሳብንብምምርማርንዝትግበሩ መዘናጊዒታት ኣየኖት እዮም?,ካብዞም ኣቦሓጎኡ ዝዘርዘሮምመዘናግዒታትሓደብዘይምፍላጡ,unmatched,0.677,
tigqa-014-17,14,,ውንታኣቦሓጎይ,ሚኪ ብምንታይ ሓፈረ?,ባህላዊ መዘናግዕታት,unmatched,0.364,
tigqa-014-18,14,,ውንታኣቦሓጎይ,ሚኪ እንታይ ኣይፈልጥን?,ኣብ መንጉኡን ኣብ ሞንጎ ኣቦሓጎኡን,unmatched,0.222,
tigqa-014-20,14,,ውንታኣቦሓጎይ,“እዚነገርኣብበይነይድዩኣብካልኦትመናእሰይ?,ኣተሓሳሲብዎ,unmatched,0.571,
tigqa-014-21,14,,ውንታኣቦሓጎይ,” ዝበለ መን እዩ?,,no_answer_chunk,0.0,
tigqa-014-22,14,,ውንታኣቦሓጎይ,ኣብ መንጎኦም ዘሎ ኣፈላላይ እንታይ ገይርዎ?,,no_answer_chunk,0.0,
tigqa-015-05,15,,ሃገራዊፓርክኣብትግራይ,ትግራይዝርከብሓዱሽፓርክእንታይ ይበሃል?,ቃፍታ ሽራሮ,unmatched,0.5,
tigqa-016-02,16,,ባህላዊስፖርት,ባህላዊ ፀወታታትዝትግበሩሉኩነታትንእንታይንይፈላለ?,ወቕትታትን,unmatched,0.5,
tigqa-016-15,16,,ባህላዊስፖርት,ቅልስኣብከመይ ዝበለምቹውቦታይካየድ?,ከውሒ,unmatched,0.667,
tigqa-016-16,16,,ባህላዊስፖርት,ባህላዊፀወታታትብዝበለፀክጠቕሙ ብምንታይ ክምርሑ ይግባእ?,ብሕገ ደምቢ,unmatched,0.333,
tigqa-017-20,17,,ረብሓስፖርት,ስፖርትጉዳይ መን እዩ?,ኩሉ ሕብረተሰብ,fuzzy,0.75,ሕብረተሰብ
tigqa-018-01,18,,ኢትዮጵያኣብመድረኽኦለምፒክ,ኦለምፒክ በብክንደይ ዓመት ይካየድ?,አርባዕተ ዓመት,fuzzy,0.875,ርባዕተ ዓመት
tigqa-018-07,18,,ኢትዮጵያኣብመድረኽኦለምፒክ,ኢትዮጰያኣብመድረኽኦለምፒክንፈለማእዋንኣብሜልቦርን መዓስ ተሳተፈት?,ብ1956 ኣ.ፈ,fuzzy,0.875,1956 ኣ.ፈ
tigqa-018-10,18,,ኢትዮጵያኣብመድረኽኦለምፒክ,ኣብከተማሮምብ1960 ኣ.ፈ. ኣብ ዝተኻየደኦለምፒክ፣ኢትዮጵያብመንመዳልያወርቂረኺባ?,ኣበበ በቂላ,unmatched,0.5,
tigqa-018-11,18,,ኢትዮጵያኣብመድረኽኦለምፒክ,ድሕሪ መን እዮም ካልኦትኢትዮጵያውያንኣብመድረኽኦለምፒክዓወትክዓትሩዝጀመሩ?,ኣበበ በቂላ,unmatched,0.5,
tigqa-018-13,18,,ኢትዮጵያኣብመድረኽኦለምፒክ,ኣብሞስኮሻምበልምሩፅይፍጠር እንታይ ረኸበ?,ክልተ ወርቂ ሜዳልያ,unmatched,0.6,
tigqa-019-03,19,,ጥቕሚማይ,ናብሰብነትዝኣቱማይንምንታይ የገልግል?,ምግቢ ንምሕቓቕ,unmatched,0.625,
tigqa-019-05,19,,ጥቕሚማይ,ማይ ኣብውሽጢሰብነትብዝተፈላለዩሜላታትዝፍጠርርስሓትብምጉዕዓዝብምንታይን ብምንታይን ይወፅእ?,ብርሃፅን ሽንትን,unmatched,0.556,
tigqa-019-08,19,,ጥቕሚማይ,ሓደሰብብማእኸላይበብመዓልቱክሳብክንደይብርጭቆማይክሰቲኣለዎ?,ሽድሽተ ብርጭቆ,fuzzy,0.75,ሽተ ብርጭቆ
tigqa-019-13,19,,ጥቕሚማይ,ማይ ዝተፈላለዩእንታይን እንታይንብመስኖንምልማዕየኽእል?,ፍረምረነ ቆፅላመፅልን,unmatched,0.417,
tigqa-019-19,19,,ጥቕሚማይ,ጥዕና ሰብ ክሕሎ ዝግበር ብምንታይ እዩ?,ናውቲ ምግቢ ብማይ ብምሕፃብ,unmatched,0.571,
tigqa-019-24,19,,ጥቕሚማይ,ማይ ብምንታይ ክትሓዝን ኣብ ግቡእ ጥቕሚ ክውዕልን ይግባእ?,ብክንክን,unmatched,0.6,
tigqa-020-02,20,,ብኽለት ማይ,ምስፅሩይማይዝተኣሳሰረ እንታይእዩ?,ህልውና ወድሰብ,unmatched,0.5,
tigqa-020-08,20,,ብኽለት ማይ,ማይብምንታይ ይብከል?,ብተፈጥሮን ሰብ ስራሕነ ፀገማት,unmatched,0.25,
tigqa-020-09,20,,ብኽለት ማይ,ካብ ከርሰ መሬት ብእሳተ ጎመራ ኣቢሎም ካብ ዝወፁ እንታይ እዩ ማይ ዝብከል?,መረዝቲ ጥረ ነገራት,unmatched,0.6,
tigqa-020-10,20,,ብኽለት ማይ,ካብ ከርሰ መሬት ብእሳተ ጎመራ ኣቢሎም ካብ ዝወፁ መረዝቲ ንጥረ ነገራት ማይ እንታይ ይኸውን?,ይምረዝ,unmatched,0.5,
tigqa-020-18,20,,ብኽለት ማይ,ዝተበከለማያዊኣካልኣብቲቃላይወይባሕሪዝነብሩፍጥረታትእንታይ ይገብር?,ይጎድእ,unmatched,0.25,
tigqa-021-03,21,,ክንክን ዝስተ ማይ,ወይዘሪትዘውዲዘድልዩዋናውቲኣብእንታያ ትሕዝ?,ኣብ ቦርሰኣ,unmatched,0.667,
tigqa-021-10,21,,ክንክን ዝስተ ማይ,ዘውዲ፣ ደሓን እየ ምስበለት፣ ኣይተ ወልዳይ እንታይ በሉዋ?,ሂወት እዩ,fuzzy,0.8,ወት እዩ
tigqa-021-19,21,,ክንክን ዝስተ ማይ,ወይዘሪትዘውዲ“ክባርእኮኣይኮነን።” ዝበለቶ ነየናይ እዩ?,ብእንሰሳት ማይ ከይበላሸው,unmatched,0.357,
tigqa-021-21,21,,ክንክን ዝስተ ማይ,ዒላታትንዓይኒማያትንብእንስሳትኮነብሰብከይበላሸዉእንታይ ይግበሩ?,,no_answer_chunk,0.0,
tigqa-021-22,21,,ክንክን ዝስተ ማይ,እንስሳት ዝሰትያሉ ቦታ ንበይኑ ምግባርእንታይ ይጠቅም?,,no_answer_chunk,0.0,
tigqa-021-23,21,,ክንክን ዝስተ ማይ,ሳልሳይሜላ ምፅራይ ማይ እንታይእዩ?,,no_answer_chunk,0.0,
tigqa-022-01,22,,ሸማቶ,ኣብ ንጥፈታት ንግዲ መን መን ንኽህልዉ ግድን እዩ?,ንግድን ነጋዶን,unmatched,0.5,
tigqa-022-02,22,,ሸማቶ,ሸማቶ እንታይ እዮም?,ኣቑሑ ዝዕድጉ ሰባት,fuzzy,0.8,ሑ ዝዕድጉ ሰባት
tigqa-022-10,22,,ሸማቶ,ሸማቶ ዝዓደጉዎምኣቚሑእንታይ እንተሃሊዩዎም እዩኣብከባቢኦምንዝርከቡቢሮንግድንኢንዱስቱሪንከፍልጡይግባእ ዝበሃል?,ጉድለት,fuzzy,0.75,ጉድለ
tigqa-022-13,22,,ሸማቶ,ሸማቶ ኣቚሑምስዓደጉእንታይ ክሕዙኣለዎም?,ኣጠቓቕማኦምዝሕብሩኣድለይቲ መግለፅታት,fuzzy,0.864,ኣጠቓቕማኦም ዝሕብሩ ኣድለይቲ መግለ
tigqa-022-15,22,,ሸማቶ,ዝዕደጉ ኣቑሑት እንታይ ኣለዎም?,ኣጠቓቕመኦም ዝገልፁ መግለፅታት,unmatched,0.235,
tigqa-023-02,23,,ዋጋዕዳጋ,ዋጋዕዳጋ እንታይ እዩ?,ዓዳግን ሸያጥን ዋጋ ንምቅርራብ ወይ ድማ ሓሳብ ንሓሳብ ዝለዋወጡሉ,unmatched,0.333,
tigqa-023-03,23,,ዋጋዕዳጋ,ዋጋዕዳጋ ዝገብሩ ዘለዉ መንን መንን እዮም?,ዓዳግን ሸያጥን,unmatched,0.375,
tigqa-023-04,23,,ዋጋዕዳጋ,ኣብቲ ዕዳጋ ክንደይ ሰባት ኣለዉ?,ሸያጢ ጠስምን መዓርን,unmatched,0.364,
tigqa-023-05,23,,ዋጋዕዳጋ,ኣብ መንጎ መንን መንን ዋጋ ዕዳጋ ተገይሩ,ከመይ ሓዲርኪ ዝሓፍተይ,unmatched,0.583,
tigqa-023-08,23,,ዋጋዕዳጋ,” ዝበለ መን እዩ?,ቀይሕነ ፃዕዳን,unmatched,0.375,
tigqa-023-12,23,,ዋጋዕዳጋ,ዓዳጊ ክንደይ ኪሎ መዓር እዩ ደልዩ?,70 ቅርሺ,fuzzy,0.8,0 ቅርሺ
tigqa-023-20,23,,ዋጋዕዳጋ,ዓዳጊ ሓሙሽተ ኪሎ እንታይ እዩ ዓዲጉ?,,no_answer_chunk,0.0,
tigqa-023-21,23,,ዋጋዕዳጋ,ዓዳጊ ክንደይ ኪሎ ጠስሚ እዩ ገዚኡ?,,no_answer_chunk,0.0,
tigqa-024-06,24,,መራኸብቲ ሓፋሽ ኣብ ትግራይ,ብቢሮ ርክብ ህዝቢን መንግስቲን እትዳሎ መንግስታዊ ጋዜጣ መን እያ?,ጋዜጣ መቃልሕ,unmatched,0.571,
tigqa-024-07,24,,መራኸብቲ ሓፋሽ ኣብ ትግራይ,ጋዜጣ መቓልሕ ብመን እትዳሎ መንግስታዊ ጋዜጣ መን እያ?,ብቢሮ ርክብ ህዝቢን መንግስትን ትግራይ,unmatched,0.7,
tigqa-024-10,24,,መራኸብቲ ሓፋሽ ኣብ ትግራይ,“ሓሪና” እትበሃል መፅሄት ብመን እያ ትሰናዳእ?,ብማሕበር ደቂ ኣንስትዮ,fuzzy,0.75,ማሕበር ደቂ ኣንስ
tigqa-024-13,24,,መራኸብቲ ሓፋሽ ኣብ ትግራይ,ናይ ፈነወ ትምህርቲ ብራድዮ ማእኸል መን እዮም?,ተመሃሮ,unmatched,0.5,
tigqa-024-14,24,,መራኸብቲ ሓፋሽ ኣብ ትግራይ,ካብ መላእ ክልልን ሃገርን ሓሊፉ ኣብ ጎረባብቲ ሃገራት እውን ተሰማዒነት ዘለዎ ራድዮ ኣየናይ እዩ?,ድምፂ መያነ ትግራይ,unmatched,0.6,
tigqa-024-15,24,,መራኸብቲ ሓፋሽ ኣብ ትግራይ,ምስሊን ድምፂን ኣዋዲዱ ዘመሓላልፍ ቴለቭዥን ኣየናይ እዩ?,ቴሌቪዥን ትግራይ,unmatched,0.667,
tigqa-025-01,25,,ደብዳበ,እዚ ደብዳበ ናብ መን እዩ ተፃሒፉ?,ናብ ወላዲት,unmatched,0.5,
tigqa-025-06,25,,ደብዳበ,ፀሓፋይ “ኪዳነይ!” ዝብላ ንመን እዩ?,ንወላዲቱ,unmatched,0.6,
tigqa-025-07,25,,ደብዳበ,ንፀሓፋይ ኣብ ኣዲስ ኣበባ መን ረኺቡዎ?,ወዲ ኣያይ ያሲን,unmatched,0.5,
tigqa-025-12,25,,ደብዳበ,እግረ መንገዱ፣ ፀጋይ ናበይ ከደ?,ሓዉ ናብ ዝመሃረሉ ዩኒቨርሲቲ,fuzzy,0.733,ናብ ዝመሃረሉ ዩኒቨር
tigqa-025-14,25,,ደብዳበ,ፀጋይ፣ ንመንን ንመንን እዩ ሰላም ኢሉኩም በልለይ ዝበለ?,ንጎረባብቱን ንመሓዙቱን,unmatched,0.308,
tigqa-026-02,26,,ዋሕታ,ዋሕታ ኣብ ከክንደይ ሰሙን ትሕተም?,በብክልተ ሰሙን,unmatched,0.625,
tigqa-026-06,26,,ዋሕታ,“ጠመተ” ዝብል ዓምዲ እንታይ የተሓሳስብ?,ኣብ ቤት ትምህርቲ ዝረኣዩ ጉድለታት ብምንፃር መፍትሒ ንኽግበረሎም,fuzzy,0.941,ቤት ትምህርቲ ዝረኣዩ ጉድለታት ብምንፃር መፍትሒ ንኽግበረሎም
tigqa-026-09,26,,ዋሕታ,ፍልጠታት ተፈጥሮን ሕብረተሰብ ሳይንስን ኣበየናይ ዓምዲ ይቐርቡ?,ኣብ ሓፈሻዊ ፍልጠት,fuzzy,0.8,ሓፈሻዊ ፍልጠት
tigqa-026-10,26,,ዋሕታ,ብድምር ውፅኢት መልሶም ዝሰዓሩ ተምሃሮ እንታይ ይሽለሙ?,መፅሓፍቲ,unmatched,0.4,
tigqa-026-12,26,,ዋሕታ,ጉዳያት ባህሊን ቋንቋን ኣበየናይ ዓምዲ እዮም ዝቐርቡ?,ኣብ ትሕቲ ቋንቋን ስነፅሑፍን,unmatched,0.667,
tigqa-026-13,26,,ዋሕታ,ቐንዲ ዕላማ ዓምዲ ጋሻና እንታይ እዩ?,ተሞክሮ ንምሃብ ዝዓለመ,fuzzy,0.75,ሮ ንምሃብ ዝዓለመ
tigqa-027-05,27,,ፍቕሪ ሃገር,ፍቕሪሃገርዘለዎዜጋምስከምኡዝበሉዜጋታትተሓባቢሩ እንታይ ይገብር?,ኣብ ሃገሩ ዝረኣዩ ፀገማት,unmatched,0.538,
tigqa-028-07,28,,ቀሺ ገብሩ,ሙሉ መዓስ እያ ናብ ቃልሲ ዝተፀምበረት?,ብ1974 ዓ/ም,fuzzy,0.75,ብ1974 ዓ
tigqa-028-12,28,,ቀሺ ገብሩ,ሙሉ ብ1978 ዓ.ም. ኣብ እንታይ ተሳተፈት?,ኣብ ወፍሪ ኣግአዚ,fuzzy,0.778,ኣብ ወፍሪ ኣግ
tigqa-028-14,28,,ቀሺ ገብሩ,ሙሉ መዓስ እግራ ተወቕዐት?,ብ1979 ዓ/ም,fuzzy,0.75,ብ1979 ዓ
tigqa-028-16,28,,ቀሺ ገብሩ,ተጋዳሊት ሙሉ ናብ “ሜይደይ” መዓስ ተመደበት?,ብ1981 ዓ/ም,fuzzy,0.75,ብ1981 ዓ
tigqa-028-17,28,,ቀሺ ገብሩ,ሙሉ ኣብ ትሕቲ ረጅመንት መራሒት እንታይ ኮይና ተዋጊኣ ኣዋጊኣ?,ሓይሊ 13,unmatched,0.6,
tigqa-028-18,28,,ቀሺ ገብሩ,ሙሉ መዓስ እያ ኣብ ኢድ ፀላኢ ዝወደቐት?,ብ27 ጥሪ 1982 ዓ/ም,fuzzy,0.833,ብ27 ጥሪ 1982 ዓ
tigqa-029-02,29,,ጥዕናዊ ፀገም ዘየምከኖ ሕልሚ,መምህር ትበርህ ክንደይ ዓ.ም. ተወሊደን?,ብ1934 ዓ/ም,fuzzy,0.75,ብ1934 ዓ
